MEP,group_abbv,country,Industry-31,Industry-32,Industry-33,Industry-34,Industry-35,Industry-36,Industry-37,Industry-38,Industry-39,Industry-40,Industry-41,Industry-42,Industry-43,Industry-44,Industry-45,Industry-46,"Paragraph 1, amendment 5","Paragraph 3, amendment 6",Paragraph 6/1,Paragraph 6/2,"Paragraph 16, indent 5, amendment 7",Paragraph 18,Paragraph 19,Paragraph 20,"Paragraph 24, amendment 8","Paragraph 27, amendment 9","Paragraph 29, amendment 10",Paragraph 52/1,Paragraph 52/2,Paragraph 69/1,Paragraph 69/2,"Paragraph 73, intro, amendment 11","Paragraph 73, indent 1, amendment 12","Paragraph 73, indent 3, amendment 13","Paragraph 73, indent 3, amendment 4","Paragraph 73, indent 4/1","Paragraph 73, indent 4/2","Paragraph 73, indent 5, amendment 15","Paragraph 73, after indent 5, amendment 24","Paragraph 74, intro, amendment 16","Paragraph 74, indent 1, amendment 17","Paragraph 74, indent 3, amendment 18","Paragraph 74, after indent 3, amendment 25","Paragraph 75, amendment 19",Paragraph 75/1,Paragraph 75/2,"Paragraph 76, amendment 20","Paragraph 77, amendment 21","Paragraph 78, amendment 22","Paragraph 80, amendment 23",Citation 3/1,Citation 3/2,"After citation 4, amendment 1","Recital G, amendment 2",Recital J/1,Recital J/2,Recital J/3,"Recital V, amendment 3","Recital AE, amendment 4",vote: resolution (as a whole)
Dominique Riquet,REG,France,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,Against,For,Against,For,For,For,Abstain,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,Against,For
Dorien Rookmaker,NI,Netherlands,For,Against,For,For,For,Against,Abstain,For,For,Against,Against,Abstain,Against,For,Against,For,For,For,For,Against,Against,Against,Against,Against,For,For,For,Against,For,For,Against,For,For,Against,For,Against,Against,For,Against,For,For,For,For,For,Against,For,Against,Against,For,For,For,For,For,For,Against,Against,Against,Against,For,Against
Dragos Pislaru,REG,Romania,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,For,Against,For
Dragos Tudorache,REG,Romania,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,For,Against,For
Edina Toth,NI,Hungary,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,Against,Against,Against,For,For,For,For,For,Against,For,For,For,Against,For,For,For,Against
Eero Heinaluoma,S&D,Finland,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,Didn't vote,Abstain,For,For,For,Abstain,Abstain,For,For,Abstain,For,Abstain,For,For,For,For,For,Abstain,Abstain,Abstain,Abstain,Abstain,For,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,For,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Didn't vote
Eider Gardiazabal Rubial,S&D,Spain,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Elena Kountoura,The Left,Greece,Against,For,For,For,Against,For,Against,For,Against,For,For,For,For,Abstain,For,Against,Against,Against,For,For,Against,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Against,For,For,Against,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Elena Lizzi,IDG,Italy,For,Against,For,For,For,Against,For,Against,For,Against,Against,Against,Against,For,Against,For,Against,Against,For,Against,For,Abstain,For,Abstain,For,Abstain,Abstain,For,Against,Against,Against,For,Abstain,For,Abstain,Against,Against,Abstain,Against,Abstain,Abstain,For,Against,Against,Against,Against,Abstain,Abstain,Abstain,Against,Abstain,Against,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Elena Yoncheva,S&D,Bulgaria,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Eleonora Evi,Greens/EFA,Italy,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Elisabetta Gualmini,S&D,Italy,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Elissavet Vozemberg Vrionidi,EPP,Greece,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,For
Elsi Katainen,REG,Finland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,Against,Abstain,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Elzbieta Katarzyna Lukacijewska,EPP,Poland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,For
Elzbieta Kruk,ECR,Poland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,For
Elzbieta Rafalska,ECR,Poland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Against
Emil Radev,EPP,Bulgaria,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,For,For,Against,For,For,For,Against
Emma Wiesner,REG,Sweden,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,For,Abstain,For,For,Against,For,For,For,Against,For,Against,For,Against,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,Abstain
Emmanouil Fragkos,ECR,Greece,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,Against,For,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,Against,For,Against,For,Against,Against,Against,For,For,For,For,For,Against
Emmanuel Maurel,The Left,France,Against,For,For,For,Against,For,Against,For,Against,For,For,For,For,Abstain,For,Against,Against,Against,For,For,Against,For,For,For,Didn't vote,Against,Against,For,For,For,For,Against,Against,Against,Against,For,For,Against,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Engin Eroglu,REG,Germany,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Abstain,For,Against,Against,Abstain,Against,For,Against,For,Against,For,For,For,For,For,Abstain,For,For,Abstain,Abstain,For,Abstain,For,For,Abstain,For,For,Against,Against,For,For,For,For,For,Against,For,For,Against,For
Eniko Gyori,NI,Hungary,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Eric Andrieu,S&D,France,For,For,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Erik Bergkvist,S&D,Sweden,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Erik Marquardt,Greens/EFA,Germany,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Ernest Urtasun,Greens/EFA,Spain,For,For,Against,Against,Against,Against,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Erno Schaller Baross,NI,Hungary,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,Against,Against,Against,For,For,For,For,For,Against,For,For,For,Against,For,For,Against,Against
Esteban Gonzalez Pons,EPP,Spain,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Esther De Lange,EPP,Netherlands,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,For,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Estrella Dura Ferrandis,S&D,Spain,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Eugen Jurzyca,ECR,Slovakia,For,For,For,For,Abstain,Against,Abstain,Abstain,For,Abstain,Against,Against,For,For,Abstain,For,Against,Abstain,Against,Against,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Against,Against,Abstain,Against,Abstain,Abstain,For,Against,Abstain,Against,Against,Abstain,Against,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Against
Eugen Tomac,EPP,Romania,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,For,Against
Eugenia Rodriguez Palop,The Left,Spain,Against,For,For,For,Against,For,Against,For,Against,For,For,For,For,Abstain,For,Against,Against,Against,For,For,Against,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Against,For,For,Against,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Eva Kaili,S&D,Greece,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Abstain,For,For,For,Abstain,Didn't vote,Abstain,Abstain,For,For,For,For,Abstain,Abstain,Abstain,Abstain,For,For,For,Against,For,For,For,For,Against,For
Eva Maydell,EPP,Bulgaria,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Evelyn Regner,S&D,Austria,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Evelyne Gebhardt,S&D,Germany,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Evin Incir,S&D,Sweden,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Evzen Tosenovsky,ECR,Czech Republic,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Abstain,Abstain,Abstain,Against,For,For,For,For,Abstain,Abstain,For,Abstain,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,Abstain,For,Against,For,Abstain,For,Against,Against,For,For,For,For,For,For,Against
Ewa Kopacz,EPP,Poland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,For
Fabienne Keller,REG,France,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,For,For,For,For,Against,For,Against,For,For,For,For,For,For,For,For,For,Against,For,Against,For,Against,For,Abstain,For,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Fabio Massimo Castaldo,NI,Italy,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,Against,For,Against,Abstain,Against,Against,Against,For,For,Against,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,For,Against,For
Filip De Man,IDG,Belgium,For,Against,Against,Against,Against,Against,For,For,For,Against,Abstain,Against,Against,For,For,Abstain,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,Against,Against,Against,For,For,Against,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,Abstain,Against,Against,For,Against,Against,Against,Abstain,Against,Against,Against,Against,Against,For
Franc Bogovic,EPP,Slovenia,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,For,For,Against,For,For,For,Against
France Jamet,IDG,France,For,Against,For,For,For,Against,For,Against,For,Against,For,Against,Against,For,For,For,Abstain,Abstain,Abstain,Against,For,For,For,For,Abstain,For,For,For,Against,For,Abstain,For,Abstain,Abstain,Against,Against,Abstain,Against,Against,Against,Against,For,Against,Abstain,Against,Against,Against,Abstain,Against,Abstain,Abstain,Against,For,For,For,For,Abstain,Abstain,For,Against
Frances Fitzgerald,EPP,Ireland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Abstain
Francesca Donato,IDG,Italy,For,Against,For,For,For,Against,For,Against,For,Against,Against,Against,Against,For,Against,For,Against,Against,For,Against,For,Abstain,For,Abstain,For,Abstain,Abstain,For,Against,Against,Against,For,Abstain,For,Abstain,Against,Against,Abstain,Against,Abstain,Abstain,For,Against,Against,Against,Against,Abstain,Abstain,Abstain,Against,Abstain,Against,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Francisco Guerreiro,Greens/EFA,Portugal,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Francisco Jose Millan Mon,EPP,Spain,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Franco Roberti,S&D,Italy,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Francois Alfonsi,Greens/EFA,France,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Francois Xavier Bellamy,EPP,France,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,Against,For,For,For,For,For,Against,For,For,For,Against,For,For,For,Against
Frederique Ries,REG,Belgium,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Fulvio Martusciello,EPP,Italy,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,For,Against
Gabriel Mato,EPP,Spain,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Against,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Gabriele Bischoff,S&D,Germany,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Geert Bourgeois,ECR,Belgium,For,For,For,For,For,Against,For,Against,For,For,Against,Against,For,For,For,For,Against,Abstain,For,Against,For,For,For,For,For,For,For,For,Against,Against,Against,For,For,For,Against,Against,Against,For,Against,For,For,For,Against,Against,Against,Against,For,Against,For,For,For,Against,Against,For,For,For,For,For,For,Against
Geoffroy Didier,EPP,France,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,For,Against,For,For,For,Against,For,For,For,Against
Georg Mayer,IDG,Austria,Against,Against,For,For,For,Against,For,Abstain,For,Against,Abstain,Against,Against,For,For,Against,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,Against,Against,Against,For,For,Against,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,Abstain,Against,Against,For,Against,Against,Against,Abstain,Against,Against,Against,Against,Against,Against
Georgios Kyrtsos,EPP,Greece,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Gerolf Annemans,IDG,Belgium,For,Against,Against,Against,Against,Against,For,For,For,Against,Abstain,Against,Against,For,For,Abstain,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,Against,Against,Against,For,For,Against,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,Abstain,Against,Against,For,Against,Against,Against,Abstain,Against,Against,Against,Against,Against,Against
Gheorghe Falca,EPP,Romania,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,For,Against
Gheorghe Vlad Nistor,EPP,Romania,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Gianantonio Da Re,IDG,Italy,For,Against,For,For,For,Against,For,Against,For,Against,Against,Against,Against,For,Against,For,Against,Against,For,Against,For,Abstain,For,Abstain,For,Abstain,Abstain,For,Against,Against,Against,For,Abstain,For,Abstain,Against,Against,Abstain,Against,Abstain,Abstain,For,Against,Against,Against,Against,Abstain,Abstain,Abstain,Against,Abstain,Against,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Gianna Gancia,IDG,Italy,For,Against,For,For,For,Against,For,Against,For,Against,Against,Against,Against,For,Against,For,Against,Against,For,Against,For,Abstain,For,Abstain,For,Abstain,Abstain,For,Against,Against,Against,For,Abstain,For,Abstain,Against,Against,Abstain,Against,Abstain,Abstain,For,Against,Against,Against,Against,Abstain,Abstain,Abstain,Against,Abstain,Against,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain
Gilbert Collard,IDG,France,For,Against,For,For,For,Against,For,Against,For,Against,For,Against,Against,For,For,For,Abstain,Abstain,Abstain,Against,For,For,For,For,Abstain,For,For,For,Against,For,Abstain,For,Abstain,Abstain,Against,Against,Abstain,Against,Against,Against,Against,For,Against,Abstain,Against,Against,Against,Abstain,Against,Abstain,Abstain,Against,For,For,For,For,Abstain,Abstain,For,Against
Gilles Boyer,REG,France,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,For,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,For
Gilles Lebreton,IDG,France,For,Against,For,For,For,Against,For,Against,For,Against,For,Against,Against,For,For,For,Abstain,Abstain,Abstain,Against,For,For,For,For,Abstain,For,For,For,Against,For,Abstain,For,Abstain,Abstain,Against,Against,Abstain,Against,Against,Against,Against,For,Against,Abstain,Against,Against,Against,Abstain,Against,Abstain,Abstain,Against,For,For,For,For,Abstain,Abstain,For,Against
Giorgos Georgiou,The Left,Cyprus,Abstain,For,For,For,Against,For,Against,For,Against,Abstain,For,For,For,Abstain,For,Abstain,Against,Against,For,For,Against,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Against,For,For,Against,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Giuliano Pisapia,S&D,Italy,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Giuseppe Ferrandino,S&D,Italy,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Giuseppe Milazzo,EPP,Italy,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,Abstain,Against
Grace O Sullivan,Greens/EFA,Ireland,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Grzegorz Tobiszowski,ECR,Poland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Against
